content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] ALERT - we are investigating a problem | Date: | August 15, 2010 at 20:38:33 UTC
*** WARNING ***  We are investigating a problem.  DO NOT TRUST ANY
TRANSACTIONS THAT HAPPENED AFTER 15.08.2010 17:05 UTC (block 74638)
until the issue is resolved.
[bitcoin-list] ALERT - we are investigating a problem
bitcoin-list",0,emails,email,email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem,043,nakamotoinstitute_files\emails\email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem.html,nakamotoinstitute_files\emails\email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem.html,[bitcoin-list] ALERT - we are investigating a problem,1
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin 0.3.18 is released | Date: | December 8, 2010 at 23:11:55 UTC
Version 0.3.18 is now available.
Changes:
- Fixed a wallet.dat compatibility problem if you downgraded from 0.3.17
and then upgraded again
- IsStandard() check to only include known transaction types in blocks
- Jgarzik's optimisation to speed up the initial block download a little
The main addition in this release is the Accounts-based JSON-RPC
commands that Gavin's been working on (more details at
http://www.bitcoin.org/smf/index.php?topic=1886.0).
- getaccountaddress
- sendfrom
- move
- getbalance
- listtransactions
Download:
http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.3.18/
[bitcoin-list] Bitcoin 0.3.18 is released
bitcoin-list",0,emails,email,email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released,044,nakamotoinstitute_files\emails\email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released.html,nakamotoinstitute_files\emails\email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released.html,[bitcoin-list] Bitcoin 0.3.18 is released,1
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin 0.3.19 is released | Date: | December 13, 2010 at 16:12:09 UTC
This is a minor release to add some DoS protection.
Changes:
- Added some DoS limits, though it's still far from DoS resistant.
- Removed ""safe mode"" alerts.
http://www.bitcoin.org/smf/index.php?topic=2228.0
Download:
http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.3.19/
[bitcoin-list] Bitcoin 0.3.19 is released
bitcoin-list",0,emails,email,email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released,045,nakamotoinstitute_files\emails\email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released.html,nakamotoinstitute_files\emails\email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released.html,[bitcoin-list] Bitcoin 0.3.19 is released,1
Forum Posts,0,posts,post,post_001_P2P_Foundation,001,nakamotoinstitute_files\posts\post_001_P2P_Foundation.html,nakamotoinstitute_files\posts\post_001_P2P_Foundation.html,P2P Foundation,1
Forum Posts,0,posts,post,post_002_BitcoinTalk,002,nakamotoinstitute_files\posts\post_002_BitcoinTalk.html,nakamotoinstitute_files\posts\post_002_BitcoinTalk.html,BitcoinTalk,1
Forum Posts,0,posts,post,post_003_Threads,003,nakamotoinstitute_files\posts\post_003_Threads.html,nakamotoinstitute_files\posts\post_003_Threads.html,Threads,1
Forum Posts,0,posts,post,post_004_Threads,004,nakamotoinstitute_files\posts\post_004_Threads.html,nakamotoinstitute_files\posts\post_004_Threads.html,Threads,1
"Could be. They're talking about the old Chaumian central mint stuff, but maybe only because that was the only thing available. Maybe they would be interested in going in a new direction.A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 1990's. I hope it's obvious it was only the centrally controlled nature of those systems that doomed them. I think this is the first time we're trying a decentralized, non-trust-based system.
Bitcoin open source implementation of P2P currency
February 15, 2009 at 16:42:00 UTC
P2P Foundation",0,posts,post,post_006_Bitcoin_open_source_implementation_of_P2P_currency,006,nakamotoinstitute_files\posts\post_006_Bitcoin_open_source_implementation_of_P2P_currency.html,nakamotoinstitute_files\posts\post_006_Bitcoin_open_source_implementation_of_P2P_currency.html,Bitcoin open source implementation of P2P currency,1
"Welcome to the new Bitcoin forum!The old forum can still be reached here:http://bitcoin.sourceforge.net/boards/index.phpI'll repost some selected threads here and add updated answers to questions where I can.FAQhttp://bitcoin.sourceforge.net/wiki/index.php?page=FAQDownloadhttp://sourceforge.net/projects/bitcoin/files/
Welcome to the new Bitcoin forum!
November 22, 2009 at 18:04:28 UTC
BitcoinTalk",0,posts,post,post_008_Welcome_to_the_new_Bitcoin_forum!,008,nakamotoinstitute_files\posts\post_008_Welcome_to_the_new_Bitcoin_forum!.html,nakamotoinstitute_files\posts\post_008_Welcome_to_the_new_Bitcoin_forum!.html,Welcome to the new Bitcoin forum!,1
"--------------------anonguy54:Request: Make this anonymous?Posted:Thu 15 of Oct, 2009 (19:58 UTC)Are there any plans to make this service anonymous?e.g; Being able to route BitCoin through Tor.
Repost: Request: Make this anonymous?
November 22, 2009 at 18:32:00 UTC
BitcoinTalk",0,posts,post,post_010_Repost__Request__Make_this_anonymous_,010,nakamotoinstitute_files\posts\post_010_Repost__Request__Make_this_anonymous_.html,nakamotoinstitute_files\posts\post_010_Repost__Request__Make_this_anonymous_.html,Repost  Request  Make this anonymous ,1
"There will be a proxy setting in version 0.2 so you can connect through TOR.Â  I've done a careful scrub to make sure it doesn't use DNS or do anything that would leak your IP while in proxy mode.
Re: Repost: Request: Make this anonymous?
November 22, 2009 at 18:35:15 UTC
BitcoinTalk",0,posts,post,post_012_Re__Repost__Request__Make_this_anonymous_,012,nakamotoinstitute_files\posts\post_012_Re__Repost__Request__Make_this_anonymous_.html,nakamotoinstitute_files\posts\post_012_Re__Repost__Request__Make_this_anonymous_.html,Re  Repost  Request  Make this anonymous ,1
"--------------------bitcoinbitcoin:How anonymous are bitcoins?Can nodes on the network tell from which and or to which bitcoin address coins are being sent? Do blocks contain a history of where bitcoins have been transfered to and from? Can nodes tell which bitcoin addresses belong to which IP addresses? Is there a command line option to enable the sock proxy the first time that bitcoin starts? What happens if you send bitcoins to an IP address that has multiple clients connected through network address translation (NAT)?
Repost: How anonymous are bitcoins?
November 25, 2009 at 18:15:57 UTC
BitcoinTalk",0,posts,post,post_013_Repost__How_anonymous_are_bitcoins_,013,nakamotoinstitute_files\posts\post_013_Repost__How_anonymous_are_bitcoins_.html,nakamotoinstitute_files\posts\post_013_Repost__How_anonymous_are_bitcoins_.html,Repost  How anonymous are bitcoins ,1
"--------------------scott:Linux/UNIX compilePosted:Thu 08 of Oct, 2009 (05:49 UTC)Can we get instructions or modifications to compile and install BitCoin on Linux? A command line version would be great.
Repost: Linux/UNIX compile
November 27, 2009 at 17:17:22 UTC
BitcoinTalk",0,posts,post,post_015_Repost__Linux_UNIX_compile,015,nakamotoinstitute_files\posts\post_015_Repost__Linux_UNIX_compile.html,nakamotoinstitute_files\posts\post_015_Repost__Linux_UNIX_compile.html,Repost  Linux UNIX compile,1
"The Linux version is on its way.Â  Martti's Linux port was merged into the main code branch and New Liberty Standard has been testing it.Â  It'll be in the next release, version 0.2.Command line is on the to-do list after 0.2.
Re: Repost: Linux/UNIX compile
November 27, 2009 at 17:27:09 UTC
BitcoinTalk",0,posts,post,post_016_Re__Repost__Linux_UNIX_compile,016,nakamotoinstitute_files\posts\post_016_Re__Repost__Linux_UNIX_compile.html,nakamotoinstitute_files\posts\post_016_Re__Repost__Linux_UNIX_compile.html,Re  Repost  Linux UNIX compile,1
"We've been working hard on improvements for the next version release.Â  Martti (sirius-m) added some nice features to make it more user friendly and easier to run in the background:- Minimize to system tray option- Autostart on boot option so you can keep it running in the background automatically- New options dialog layout- Setup EXE for Windows, in addition to the archive downloadI've been working on a number of refinements to the networking code and laying the groundwork for future functionality.Â  Also coming in version 0.2:- Multi-processor support for coin generation- Proxy support
[OLD THREAD] Bitcoin version 0.2 development status
November 27, 2009 at 22:48:39 UTC
BitcoinTalk",0,posts,post,post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status,017,nakamotoinstitute_files\posts\post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status.html,nakamotoinstitute_files\posts\post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status.html,[OLD THREAD] Bitcoin version 0.2 development status,1
"That's true, with the send-to-IP option, you are sending to whoever answers that IP.Â  Sending to a bitcoin address doesn't have that problem.The plan is to implement an IP + bitcoin address option that would have the benefits of both.Â  It would still use a different address for each transaction, but the receiver would sign the one-time-use address with the given bitcoin address to prove it belongs to the intended receiver.
Re: Questions about Bitcoin
December 11, 2009 at 17:58:57 UTC
BitcoinTalk",0,posts,post,post_021_Re__Questions_about_Bitcoin,021,nakamotoinstitute_files\posts\post_021_Re__Questions_about_Bitcoin.html,nakamotoinstitute_files\posts\post_021_Re__Questions_about_Bitcoin.html,Re  Questions about Bitcoin,1
"The average total coins generated across the network per day stays the same.Â  Faster machines just get a larger share than slower machines.Â  If everyone bought faster machines, they wouldn't get more coins than before.We should have a gentleman's agreement to postpone the GPU arms race as long as we can for the good of the network.Â  It's much easer to get new users up to speed if they don't have to worry about GPU drivers and compatibility.Â  It's nice how anyone with just a CPU can compete fairly equally right now.
Re: A few suggestions
December 12, 2009 at 17:52:44 UTC
BitcoinTalk",0,posts,post,post_023_Re__A_few_suggestions,023,nakamotoinstitute_files\posts\post_023_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_023_Re__A_few_suggestions.html,Re  A few suggestions,1
"There would be a command line switch at runtime to tell it to run without UI.Â  All it needs to do is not create the main window.Â  A simplistic way would be to disable ""pframeMain->Show"" and ""ptaskbaricon->Show"" in ui.cpp.Â  The network threads don't care that the UI isn't there.Â  The only other UI is a message box in CheckDiskSpace if it runs out of disk space.Then a separate command line utility to communicate with it to do things.Â  Not sure what it should be named.""natural deflation""... I like that name for it.Â  Yes, there will be natural deflation due to payment mistakes and lost data.Â  Coin creation will eventually get slow enough that it is exceeded by natural deflation and we'll have net deflation.
Re: A few suggestions
December 13, 2009 at 16:51:25 UTC
BitcoinTalk",0,posts,post,post_025_Re__A_few_suggestions,025,nakamotoinstitute_files\posts\post_025_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_025_Re__A_few_suggestions.html,Re  A few suggestions,1
"Quote from: madhatter2 on December 15, 2009, 05:21:09 AMIt is also throwing the same std::string issue on the latest version of Ubuntu Linux.Then it must be something you're doing differently with building or configuring wxWidgets.What options did you use on the wxWidgets ""configure"" script?Â  The options I used are in build-unix.txt.QuoteOne question: how do I enable the debug.log? I have tried stopping bitcoin and touching ~/.bitcoin/debug.log and starting bitcoin again. It never seems to write to the file. Am I missing something?Never heard of that happening.Â  Is there anything in debug.log?Â  If you touched the file, that sounds like something is there.Â  Does the program have write access to the file?
Re: A few suggestions
December 15, 2009 at 20:37:32 UTC
BitcoinTalk",0,posts,post,post_027_Re__A_few_suggestions,027,nakamotoinstitute_files\posts\post_027_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_027_Re__A_few_suggestions.html,Re  A few suggestions,1
"Bitcoin version 0.2 is here!Download links:http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-win32-setup.exe/downloadhttp://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-win32.zip/downloadhttp://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-linux.tar.gz/downloadNew FeaturesMartti Malmi- Minimize to system tray option- Autostart on boot option so you can keep it running in the background automatically- New options dialog layout for future expansion- Setup program for Windows- Linux version (tested on Ubuntu)Satoshi Nakamoto- Multi-processor support for coin generation- Proxy support for use with TOR- Fixed some slowdowns in the initial block downloadMajor thanks to Martti Malmi (sirius-m) for all his coding work and for hosting the new site and this forum, and New Liberty Standard for his help with testing the Linux version.
Bitcoin 0.2 released!
December 16, 2009 at 22:45:36 UTC
BitcoinTalk",0,posts,post,post_028_Bitcoin_0.2_released!,028,nakamotoinstitute_files\posts\post_028_Bitcoin_0.2_released!.html,nakamotoinstitute_files\posts\post_028_Bitcoin_0.2_released!.html,Bitcoin 0.2 released!,1
"That's good, is it running fine on FreeBSD?I committed the changes to headers.h.Â  For consistency, I used __BSD__.Â  The complete list of defines is athttp://docs.wxwidgets.org/stable/wx_cppconst.html#ifdef __BSD__#include #endifmalloc.h is only needed on windows, I'll move that into the __WXMSW__ section before it causes any more trouble.
Re: A few suggestions
December 17, 2009 at 18:38:06 UTC
BitcoinTalk",0,posts,post,post_029_Re__A_few_suggestions,029,nakamotoinstitute_files\posts\post_029_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_029_Re__A_few_suggestions.html,Re  A few suggestions,1
"What you can currently do is set ""Minimize to the tray"" in options, then run it as ""bitcoin -min"" so it starts minimized. Â The only visible part will be a small (20x20) icon on the tray, which can be doubleclicked if you want to access the UI. Â Note: there's a bug with tray icons sometimes disappearing on 64-bit Karmic Koala, not sure if it's from 64-bit or Karmic, it was fine on 32-bit Jaunty.We didn't have time to implement the ""Start Bitcoin on system startup"" feature on Linux in time for 0.2 so it's greyed out. Â I figured Linux people wouldn't mind doing that manually anyway. Â I guess they need to know about the -min switch to do it right.You can locate the data directory where you want with the ""-datadir="" switch. Â I know someone is already doing that to put it on a TrueCrypt USB drive.
Re: A few suggestions
December 18, 2009 at 17:37:48 UTC
BitcoinTalk",0,posts,post,post_030_Re__A_few_suggestions,030,nakamotoinstitute_files\posts\post_030_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_030_Re__A_few_suggestions.html,Re  A few suggestions,1
"I haven't tried compiling 64-bit yet. 64-bit wouldn't make it any faster, since it uses 64-bit numbers in only a few places and SHA-256 is a 32-bit algorithm, but it may be convenient for those running a 64-bit OS. If I get a chance I'll try -m64 and see what the problem is.You can run the 32-bit version on 64-bit Linux by installing ia32-libs. Â (sudo apt-get install ia32-libs) Â If we made a Debian package, it could automatically pull that in as a dependency.
Re: 64bit support
January 14, 2010 at 20:17:20 UTC
BitcoinTalk",0,posts,post,post_032_Re__64bit_support,032,nakamotoinstitute_files\posts\post_032_Re__64bit_support.html,nakamotoinstitute_files\posts\post_032_Re__64bit_support.html,Re  64bit support,1
"Coins generate at the same speed with any number of connections >= 1.More connections just add redundancy. Â If you only had one connection, what if that node is slow or busy, or only connected to you? Â Having several connections increases the certainty that you're well connected to the network. Â That hasn't been a problem in practice, the network is very thoroughly connected. Â If you have 2 or 3 connections, you're fine.
Re: Number of connections?
January 20, 2010 at 20:07:15 UTC
BitcoinTalk",0,posts,post,post_033_Re__Number_of_connections_,033,nakamotoinstitute_files\posts\post_033_Re__Number_of_connections_.html,nakamotoinstitute_files\posts\post_033_Re__Number_of_connections_.html,Re  Number of connections ,1
"I've been thinking about that for a while. Â I want to add the backend support for .onion addresses and connecting to them, then go from there.There aren't many .onion addresses in use for anything because the user has to go through a number of steps to create one. Â Configure TOR to generate a .onion address, restart TOR, configure it with the generated address. Â Perhaps this is intentional to keep TOR so it can't be integrated into file sharing programs in any sufficiently automated way.
Re: TOR and I2P
January 20, 2010 at 22:05:28 UTC
BitcoinTalk",0,posts,post,post_034_Re__TOR_and_I2P,034,nakamotoinstitute_files\posts\post_034_Re__TOR_and_I2P.html,nakamotoinstitute_files\posts\post_034_Re__TOR_and_I2P.html,Re  TOR and I2P,1
"Yes, it's a technical limitation.Â  Sending by bitcoin address enters the transaction into the network and the recipient discovers it from the network.Â  You don't connect directly with them and they don't have to be online at the time.I very much wanted to find some way to include a short message, but the problem is, the whole world would be able to see the message.Â  As much as you may keep reminding people that the message is completely non-private, it would be an accident waiting to happen.Unfortunately, ECDSA can only sign signatures, it can't encrypt messages, and we need the small size of ECDSA.Â  RSA can encrypt messages, but it's many times bigger than ECDSA.
Re: A newb's test - anyone want to buy a picture for $1?
January 28, 2010 at 01:01:48 UTC
BitcoinTalk",0,posts,post,post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_,036,nakamotoinstitute_files\posts\post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_.html,nakamotoinstitute_files\posts\post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_.html,Re  A newb's test - anyone want to buy a picture for $1 ,1
"Where it says ""# blocks"" in the status column I'm changing it to say ""# confirmations"".Â  That might be clearer.If you doubleclick on the transaction you get a little more information.
Re: Blocks never stop generating?
January 28, 2010 at 01:08:33 UTC
BitcoinTalk",0,posts,post,post_037_Re__Blocks_never_stop_generating_,037,nakamotoinstitute_files\posts\post_037_Re__Blocks_never_stop_generating_.html,nakamotoinstitute_files\posts\post_037_Re__Blocks_never_stop_generating_.html,Re  Blocks never stop generating ,1
"The resync idea would go through your wallet and check it against the block index to find any transactions that your current computer doesn't realize are already spent.Â  That could happen if they were spent on another computer with a copy of the wallet file, or you had to restore the wallet to a backup from before they were spent.Â  Currently, the software just assumes it always knows whether its transactions are spent because it marks them spent in wallet.dat when it spends them.A wallet merge tool is possible to implement but much less in demand once resync solves most of the problem.Â  With resync, you could do about the same thing by sending all the money from one wallet to the other.Â  The receiver would resync and discover all its overlapping coins were spent, then receive them in the new transaction.
Re: Bitcoin crash when sending coins
January 28, 2010 at 23:08:02 UTC
BitcoinTalk",0,posts,post,post_038_Re__Bitcoin_crash_when_sending_coins,038,nakamotoinstitute_files\posts\post_038_Re__Bitcoin_crash_when_sending_coins.html,nakamotoinstitute_files\posts\post_038_Re__Bitcoin_crash_when_sending_coins.html,Re  Bitcoin crash when sending coins,1
"That's the right way to do it as riX says.Â  The software can generate a new bitcoin address whenever you need one for each payment.Â  ""Please send X bc to [single-use bitcoin address] to complete your order""Â  When the server receives that amount to the bitcoin address, that could trigger it to automatically fulfil the order or e-mail the shop owner.Adding command line support is a high priority.Â  It's just a matter of getting the time to code it.
Re: Payment server
January 28, 2010 at 23:26:09 UTC
BitcoinTalk",0,posts,post,post_039_Re__Payment_server,039,nakamotoinstitute_files\posts\post_039_Re__Payment_server.html,nakamotoinstitute_files\posts\post_039_Re__Payment_server.html,Re  Payment server,1
"I uploaded this fix to the SVN.Â  It watches for spent coins and updates your wallet on load and also continuously as blocks come in.Â  I also put a better error message, but it should never hit it because it always finds spent coins ahead of time, unless you spent the same money at the same time on two computers at once.If you want to try it, PM or e-mail me your e-mail address where I can send it as an attachment and also what OS (win, linux 32-bit, linux 64-bit).
Re: Bitcoin crash when sending coins
February 3, 2010 at 23:29:57 UTC
BitcoinTalk",0,posts,post,post_042_Re__Bitcoin_crash_when_sending_coins,042,nakamotoinstitute_files\posts\post_042_Re__Bitcoin_crash_when_sending_coins.html,nakamotoinstitute_files\posts\post_042_Re__Bitcoin_crash_when_sending_coins.html,Re  Bitcoin crash when sending coins,1
"Thanks for that.Â  Which version of Windows?
Re: Win32 CPU Cycles vs 'Live Protection' Engines ?
February 3, 2010 at 23:36:54 UTC
BitcoinTalk",0,posts,post,post_043_Re__Win32_CPU_Cycles_vs_'Live_Protection'_Engines__,043,nakamotoinstitute_files\posts\post_043_Re__Win32_CPU_Cycles_vs_'Live_Protection'_Engines__.html,nakamotoinstitute_files\posts\post_043_Re__Win32_CPU_Cycles_vs_'Live_Protection'_Engines__.html,Re  Win32 CPU Cycles vs 'Live Protection' Engines  ,1
