content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin 0.3.18 is released | Date: | December 8, 2010 at 23:11:55 UTC
Version 0.3.18 is now available.
Changes:
- Fixed a wallet.dat compatibility problem if you downgraded from 0.3.17
and then upgraded again
- IsStandard() check to only include known transaction types in blocks
- Jgarzik's optimisation to speed up the initial block download a little
The main addition in this release is the Accounts-based JSON-RPC
commands that Gavin's been working on (more details at
http://www.bitcoin.org/smf/index.php?topic=1886.0).
- getaccountaddress
- sendfrom
- move
- getbalance
- listtransactions
Download:
http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.3.18/
[bitcoin-list] Bitcoin 0.3.18 is released
bitcoin-list",0,emails,email,email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released,44,nakamotoinstitute_files\emails\email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released.html,nakamotoinstitute_files\emails\email_044_[bitcoin-list]_Bitcoin_0.3.18_is_released.html,[bitcoin-list] Bitcoin 0.3.18 is released,1,False,"['What is a Wallet.dat compatibility problem?', ""Did Gavin's optimization speed up Bitcoin's initial block download?"", 'Was an Accounts-based JSON-RPC feature in version 0.3.18 of Bitcoin the main addition in this release?', ""Can a user get transaction details using the new 'getaccountaddress' command in Bitcoin 0.3.18?"", 'How does the IsStandard() check differ between blocks in version 0.3.18:', ""Is Gavin involved in any notable projects with respect to Bitcoin's JSON-RPC?""]"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin 0.3.19 is released | Date: | December 13, 2010 at 16:12:09 UTC
This is a minor release to add some DoS protection.
Changes:
- Added some DoS limits, though it's still far from DoS resistant.
- Removed ""safe mode"" alerts.
http://www.bitcoin.org/smf/index.php?topic=2228.0
Download:
http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.3.19/
[bitcoin-list] Bitcoin 0.3.19 is released
bitcoin-list",0,emails,email,email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released,45,nakamotoinstitute_files\emails\email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released.html,nakamotoinstitute_files\emails\email_045_[bitcoin-list]_Bitcoin_0.3.19_is_released.html,[bitcoin-list] Bitcoin 0.3.19 is released,1,False,"['What does DoS protection mean in the context of Bitcoin?', ""Did Satoshi Nakamoto consider Bitcoin's current version sufficient for protection against denial-of-service attacks?"", ""Is a 'safe mode' feature ever mentioned by Satoshi Nakamoto?"", 'At what time and on which date was Bitcoin 0.3.19 released?']"
Forum Posts,0,posts,post,post_001_P2P_Foundation,1,nakamotoinstitute_files\posts\post_001_P2P_Foundation.html,nakamotoinstitute_files\posts\post_001_P2P_Foundation.html,P2P Foundation,1,False,"[""What is Satoshi Nakamoto's stance on trust in digital systems?"", 'Did the developer design peer-to-peer networks for Bitcoin?', 'How did Satoshi envision the concept of blockchain validation to function?']"
Forum Posts,0,posts,post,post_002_BitcoinTalk,2,nakamotoinstitute_files\posts\post_002_BitcoinTalk.html,nakamotoinstitute_files\posts\post_002_BitcoinTalk.html,BitcoinTalk,1,False,"[""What was Satoshi Nakamoto's primary motivation for creating Bitcoin?"", 'Did Satoshi mention any specific concerns about the potential risks of anonymous transactions in his development notes?', 'When did Satoshi initially propose the idea for a peer-to-peer electronic cash system?', ""Was Satoshi's intention to create a decentralized currency with a fixed supply of 21 million units?"", 'How did Satoshi envision the relationship between Bitcoin and traditional banking systems?']"
Forum Posts,0,posts,post,post_003_Threads,3,nakamotoinstitute_files\posts\post_003_Threads.html,nakamotoinstitute_files\posts\post_003_Threads.html,Threads,1,False,"[""What is Satoshi Nakamoto's stance on monetary policy?"", 'Was Bitcoin originally designed to have a specific exchange rate with the US dollar?', 'At what time did Satoshi Nakamoto stop responding to forum posts?', 'Did Satoshi emphasize decentralization in peer-to-peer networks?', 'When was the first major flaw identified in the proof-of-work consensus mechanism?']"
Forum Posts,0,posts,post,post_004_Threads,4,nakamotoinstitute_files\posts\post_004_Threads.html,nakamotoinstitute_files\posts\post_004_Threads.html,Threads,1,False,"[""What was Satoshi's view on the potential for peer-to-peer electronic cash systems to be used as a complementary currency to traditional fiat currencies?"", ""Can Bitcoin's creator provide guidance on how scalability can be improved?"", 'At what point did Satoshi believe that the proof-of-work consensus algorithm would become vulnerable to centralization?', 'Did Satoshi mention any real-world events or experiments that influenced the development of Bitcoin?', 'What technical details about peer-to-peer networks were discussed in the document?', ""Can Satoshi's views on decentralization improve our understanding of Bitcoin's role in modern finance?"", ""When did Satoshi consider implementing a 'stop-mining' mechanism to prevent centralization?""]"
"Could be. They're talking about the old Chaumian central mint stuff, but maybe only because that was the only thing available. Maybe they would be interested in going in a new direction.A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 1990's. I hope it's obvious it was only the centrally controlled nature of those systems that doomed them. I think this is the first time we're trying a decentralized, non-trust-based system.
Bitcoin open source implementation of P2P currency
February 15, 2009 at 16:42:00 UTC
P2P Foundation",0,posts,post,post_006_Bitcoin_open_source_implementation_of_P2P_currency,6,nakamotoinstitute_files\posts\post_006_Bitcoin_open_source_implementation_of_P2P_currency.html,nakamotoinstitute_files\posts\post_006_Bitcoin_open_source_implementation_of_P2P_currency.html,Bitcoin open source implementation of P2P currency,1,False,"['What did Satoshi Nakamoto say about peer-to-peer networks?', 'Were centrally controlled e-currency systems doomed solely by their central nature?', 'When was the old Chaumian central mint stuff available for consideration?', ""Was 'e-currency' a lost cause in Satoshi's opinion?"", ""In what year did several companies that failed since the 1990s become relevant to Satoshi's thoughts on e-currencies?""]"
"Welcome to the new Bitcoin forum!The old forum can still be reached here:http://bitcoin.sourceforge.net/boards/index.phpI'll repost some selected threads here and add updated answers to questions where I can.FAQhttp://bitcoin.sourceforge.net/wiki/index.php?page=FAQDownloadhttp://sourceforge.net/projects/bitcoin/files/
Welcome to the new Bitcoin forum!
November 22, 2009 at 18:04:28 UTC
BitcoinTalk",0,posts,post,post_008_Welcome_to_the_new_Bitcoin_forum!,8,nakamotoinstitute_files\posts\post_008_Welcome_to_the_new_Bitcoin_forum!.html,nakamotoinstitute_files\posts\post_008_Welcome_to_the_new_Bitcoin_forum!.html,Welcome to the new Bitcoin forum!,1,False,"['Were any alternative technologies or implementations referenced by Satoshi Nakamoto in his initial message?', 'Was it explicitly stated whether the Bitcoin source code for the original version was publicly released after its creation?', 'Is there evidence that BitcoinTalk existed before being transferred to the new forum?', 'Did you mention a replacement for the old board?', ""How long after its announcement did Satoshi provide an update on Bitcoin's development?""]"
"--------------------anonguy54:Request: Make this anonymous?Posted:Thu 15 of Oct, 2009 (19:58 UTC)Are there any plans to make this service anonymous?e.g; Being able to route BitCoin through Tor.
Repost: Request: Make this anonymous?
November 22, 2009 at 18:32:00 UTC
BitcoinTalk",0,posts,post,post_010_Repost__Request__Make_this_anonymous_,10,nakamotoinstitute_files\posts\post_010_Repost__Request__Make_this_anonymous_.html,nakamotoinstitute_files\posts\post_010_Repost__Request__Make_this_anonymous_.html,Repost  Request  Make this anonymous ,1,False,"[""Did Satoshi explicitly mention the potential use of Tor in Bitcoin's transaction routing?"", ""What was Satoshi Nakamoto's stance on making the service anonymous?"", 'Were there any plans to incorporate support for peer-to-peer networking from other platforms, like BitTorrent?']"
"There will be a proxy setting in version 0.2 so you can connect through TOR.Â  I've done a careful scrub to make sure it doesn't use DNS or do anything that would leak your IP while in proxy mode.
Re: Repost: Request: Make this anonymous?
November 22, 2009 at 18:35:15 UTC
BitcoinTalk",0,posts,post,post_012_Re__Repost__Request__Make_this_anonymous_,12,nakamotoinstitute_files\posts\post_012_Re__Repost__Request__Make_this_anonymous_.html,nakamotoinstitute_files\posts\post_012_Re__Repost__Request__Make_this_anonymous_.html,Re  Repost  Request  Make this anonymous ,1,False,"[""How did Satoshi Nakamoto protect users' IP addresses when using the Tor proxy in Bitcoin version 0.2?"", ""Did Satoshi design Bitcoin's peer-to-peer network to rely on DNS or other address revealing technologies?"", ""When was Satoshi's TOR proxy feature incorporated into Bitcoin version 0.2?""]"
"--------------------bitcoinbitcoin:How anonymous are bitcoins?Can nodes on the network tell from which and or to which bitcoin address coins are being sent? Do blocks contain a history of where bitcoins have been transfered to and from? Can nodes tell which bitcoin addresses belong to which IP addresses? Is there a command line option to enable the sock proxy the first time that bitcoin starts? What happens if you send bitcoins to an IP address that has multiple clients connected through network address translation (NAT)?
Repost: How anonymous are bitcoins?
November 25, 2009 at 18:15:57 UTC
BitcoinTalk",0,posts,post,post_013_Repost__How_anonymous_are_bitcoins_,13,nakamotoinstitute_files\posts\post_013_Repost__How_anonymous_are_bitcoins_.html,nakamotoinstitute_files\posts\post_013_Repost__How_anonymous_are_bitcoins_.html,Repost  How anonymous are bitcoins ,1,False,"['How does Bitcoin handle anonymous transactions?', ""Can blocks in Bitcoin's blockchain contain a detailed history of all bitcoin transactions?"", ""What is Satoshi Nakamoto's stance on the limitations posed by NAT for bitcoin transactions?"", 'Does Bitcoin have any built-in mechanisms to bypass network address translation for secure transactions?', 'Can bitcoin nodes uniquely identify transaction origin and destination IP addresses?']"
"--------------------scott:Linux/UNIX compilePosted:Thu 08 of Oct, 2009 (05:49 UTC)Can we get instructions or modifications to compile and install BitCoin on Linux? A command line version would be great.
Repost: Linux/UNIX compile
November 27, 2009 at 17:17:22 UTC
BitcoinTalk",0,posts,post,post_015_Repost__Linux_UNIX_compile,15,nakamotoinstitute_files\posts\post_015_Repost__Linux_UNIX_compile.html,nakamotoinstitute_files\posts\post_015_Repost__Linux_UNIX_compile.html,Repost  Linux UNIX compile,1,False,"['What is a command line version of Bitcoin?', 'Who asked Satoshi Nakamoto for help compiling and installing Bitcoin on Linux?', 'Did Satoshi mention the importance of a command line interface in the development of Bitcoin?', ""How did the community respond to Satoshi's request for instructions on compiling and installing Bitcoin on Linux?"", 'In what year was the request to compile and install Bitcoin on Linux posted on BitcoinTalk?']"
"The Linux version is on its way.Â  Martti's Linux port was merged into the main code branch and New Liberty Standard has been testing it.Â  It'll be in the next release, version 0.2.Command line is on the to-do list after 0.2.
Re: Repost: Linux/UNIX compile
November 27, 2009 at 17:27:09 UTC
BitcoinTalk",0,posts,post,post_016_Re__Repost__Linux_UNIX_compile,16,nakamotoinstitute_files\posts\post_016_Re__Repost__Linux_UNIX_compile.html,nakamotoinstitute_files\posts\post_016_Re__Repost__Linux_UNIX_compile.html,Re  Repost  Linux UNIX compile,1,False,"['What is the Linux version of Bitcoin scheduled to be released in?', ""When was Martti's Linux port merged into the main code branch"", 'Will Satoshi Nakamoto prioritize the command line release after version 0.2?', ""What standards organization has been testing New Liberty Standard's Linux port?"", 'Is version 0.2 of Bitcoin the next release with a functional Linux port?']"
"We've been working hard on improvements for the next version release.Â  Martti (sirius-m) added some nice features to make it more user friendly and easier to run in the background:- Minimize to system tray option- Autostart on boot option so you can keep it running in the background automatically- New options dialog layout- Setup EXE for Windows, in addition to the archive downloadI've been working on a number of refinements to the networking code and laying the groundwork for future functionality.Â  Also coming in version 0.2:- Multi-processor support for coin generation- Proxy support
[OLD THREAD] Bitcoin version 0.2 development status
November 27, 2009 at 22:48:39 UTC
BitcoinTalk",0,posts,post,post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status,17,nakamotoinstitute_files\posts\post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status.html,nakamotoinstitute_files\posts\post_017_[OLD_THREAD]_Bitcoin_version_0.2_development_status.html,[OLD THREAD] Bitcoin version 0.2 development status,1,False,"[""What is the timeline for the release of Bitcoin's version 0.2?"", ""How does proxy support for Bitcoin's networking code work?"", 'Did Satoshi Nakamoto mention any differences between Windows Exe and archive downloads?', 'When can we expect to see multi-processor support in coin generation?', 'Can Martti (sirius-m) autostart Bitcoin on boot?', ""What is the layout of the options dialog for Bitcoin's version 0.2?""]"
"That's true, with the send-to-IP option, you are sending to whoever answers that IP.Â  Sending to a bitcoin address doesn't have that problem.The plan is to implement an IP + bitcoin address option that would have the benefits of both.Â  It would still use a different address for each transaction, but the receiver would sign the one-time-use address with the given bitcoin address to prove it belongs to the intended receiver.
Re: Questions about Bitcoin
December 11, 2009 at 17:58:57 UTC
BitcoinTalk",0,posts,post,post_021_Re__Questions_about_Bitcoin,21,nakamotoinstitute_files\posts\post_021_Re__Questions_about_Bitcoin.html,nakamotoinstitute_files\posts\post_021_Re__Questions_about_Bitcoin.html,Re  Questions about Bitcoin,1,False,"[""What is Satoshi's plan for reducing address exposure in Bitcoin transactions?"", 'How does the send-to-IP option differ from sending to a bitcoin address, according to Satoshi Nakamoto?', 'Is Satoshi proposing an IP + bitcoin address option to benefit from both send-to-IP and bitcoin addressing?']"
"The average total coins generated across the network per day stays the same.Â  Faster machines just get a larger share than slower machines.Â  If everyone bought faster machines, they wouldn't get more coins than before.We should have a gentleman's agreement to postpone the GPU arms race as long as we can for the good of the network.Â  It's much easer to get new users up to speed if they don't have to worry about GPU drivers and compatibility.Â  It's nice how anyone with just a CPU can compete fairly equally right now.
Re: A few suggestions
December 12, 2009 at 17:52:44 UTC
BitcoinTalk",0,posts,post,post_023_Re__A_few_suggestions,23,nakamotoinstitute_files\posts\post_023_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_023_Re__A_few_suggestions.html,Re  A few suggestions,1,False,"[""What does the term 'GPU arms race' mean in Bitcoin development?"", 'Does Satoshi Nakamoto believe that peer-to-peer networks benefit from reduced competition over hardware components?', ""How did the introduction of faster machines affect coin distribution in Bitcoin's network"", ""Did Satoshi mention an ideal timeline for GPU drivers and compatibility to improve new users' onboarding?""]"
"There would be a command line switch at runtime to tell it to run without UI.Â  All it needs to do is not create the main window.Â  A simplistic way would be to disable ""pframeMain->Show"" and ""ptaskbaricon->Show"" in ui.cpp.Â  The network threads don't care that the UI isn't there.Â  The only other UI is a message box in CheckDiskSpace if it runs out of disk space.Then a separate command line utility to communicate with it to do things.Â  Not sure what it should be named.""natural deflation""... I like that name for it.Â  Yes, there will be natural deflation due to payment mistakes and lost data.Â  Coin creation will eventually get slow enough that it is exceeded by natural deflation and we'll have net deflation.
Re: A few suggestions
December 13, 2009 at 16:51:25 UTC
BitcoinTalk",0,posts,post,post_025_Re__A_few_suggestions,25,nakamotoinstitute_files\posts\post_025_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_025_Re__A_few_suggestions.html,Re  A few suggestions,1,False,"[""What is 'natural deflation' in Bitcoin's context?"", 'How does Satoshi envision the balance between payment mistakes and data loss affecting coin creation rates?', 'Will the rate of lost coins due to payment mistakes one day exceed the rate at which new coins are created?']"
"Quote from: madhatter2 on December 15, 2009, 05:21:09 AMIt is also throwing the same std::string issue on the latest version of Ubuntu Linux.Then it must be something you're doing differently with building or configuring wxWidgets.What options did you use on the wxWidgets ""configure"" script?Â  The options I used are in build-unix.txt.QuoteOne question: how do I enable the debug.log? I have tried stopping bitcoin and touching ~/.bitcoin/debug.log and starting bitcoin again. It never seems to write to the file. Am I missing something?Never heard of that happening.Â  Is there anything in debug.log?Â  If you touched the file, that sounds like something is there.Â  Does the program have write access to the file?
Re: A few suggestions
December 15, 2009 at 20:37:32 UTC
BitcoinTalk",0,posts,post,post_027_Re__A_few_suggestions,27,nakamotoinstitute_files\posts\post_027_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_027_Re__A_few_suggestions.html,Re  A few suggestions,1,False,"['What options did users of wxWidgets use to build or configure the software?', 'Is there a way to enable debug.log in Bitcoin?', 'Did Satoshi Nakamoto mention that debug.log would be affected if a user touches the file and restarts the program?', ""When using Ubuntu Linux, what std::string issue is Bitcoin experiencing?\n\nWhat does it mean by 'throwing the same std::string issue'?"", 'Can you explain some of the options used for building or configuring wxWidgets?']"
